?s	?p	?o
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9TaWx2ZXJCbGF6ZS9DeXJ1c19Ccm93bj4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvcHJlZGljYXRlL3Byb21pc2U-IDw8PGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvU2lsdmVyQmxhemUvQ3lydXNfQnJvd24-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL3ByZWRpY2F0ZS9kZWFsPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9TaWx2ZXJCbGF6ZS9TaWx2ZXJfQmxhemU-Pj4-Pg==>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#to>	<http://kgc.knowledge-graph.jp/data/SilverBlaze/Holmes>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9TaWx2ZXJCbGF6ZS9TaWx2ZXJfQmxhemU-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL3ByZWRpY2F0ZS9nbz4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvU2lsdmVyQmxhemUvTWFwbGV0b24-Pj4=>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#type>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#Situation>
<http://kgc.knowledge-graph.jp/data/ResidentPatient/Door_of_the_hall>	<http://kgc.knowledge-graph.jp/data/predicate/close>	<http://www.w3.org/2002/07/owl#Nothing>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9Dcm9va2VkTWFuL21lZXRpbmdfb2ZfdGhlX1N0Ll9HZW9yZ2VfdW5pb24-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL3ByZWRpY2F0ZS90YWtlUGxhY2U-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL0Nyb29rZWRNYW4vV2F0dHNfU3RyZWV0X0NodXJjaD4-Pg==>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#infoSource>	<http://kgc.knowledge-graph.jp/data/CrookedMan/Morrison>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9SZXNpZGVudFBhdGllbnQvQmxlc3Npbmd0b24-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL3ByZWRpY2F0ZS9kZWFkPiA8aHR0cDovL3d3dy53My5vcmcvMjAwMi8wNy9vd2wjTm90aGluZz4-Pg==>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#how>	<http://kgc.knowledge-graph.jp/data/ResidentPatient/Hanging_tied_a_string_to_the_bracket>
<http://kgc.knowledge-graph.jp/data/DancingMen/Holmes>	<http://kgc.knowledge-graph.jp/data/predicate/say>	<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9EYW5jaW5nTWVuL0RhbmNpbmdfZG9sbHNfWD4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvcHJlZGljYXRlL2VxdWFsVG8-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL0RhbmNpbmdNZW4vRUxTSUU-Pj4=>
<http://kgc.knowledge-graph.jp/data/predicate/notHave>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#Not>	<http://kgc.knowledge-graph.jp/data/predicate/have>
<http://kgc.knowledge-graph.jp/data/SpeckledBand/window_of_bedroom_of_Roylott>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#wholeOf>	<http://kgc.knowledge-graph.jp/data/SpeckledBand/Roylott>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9TaWx2ZXJCbGF6ZS9Ib2xtZXM-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL3ByZWRpY2F0ZS9maW5kPiA8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9TaWx2ZXJCbGF6ZS9oYWxmX2J1cm5lZF9vZl9NYXRjaD4-Pg==>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#type>	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#Situation>
<urn:rdf4j:triple:PDw8aHR0cDovL2tnYy5rbm93bGVkZ2UtZ3JhcGguanAvZGF0YS9BQ2FzZU9mSWRlbnRpdHkvbW90aGVyX29mX1N1dGhlcmxhbmQ-IDxodHRwOi8va2djLmtub3dsZWRnZS1ncmFwaC5qcC9kYXRhL3ByZWRpY2F0ZS9nbz4gPGh0dHA6Ly9rZ2Mua25vd2xlZGdlLWdyYXBoLmpwL2RhdGEvQUNhc2VPZklkZW50aXR5L2RhbmNlPj4->	<http://kgc.knowledge-graph.jp/ontology/kgc.owl#infoSource>	<http://kgc.knowledge-graph.jp/data/ACaseOfIdentity/Sutherland>
